Unnamed: 0,Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,country,suburb,road,municipality,state,postcode
22862,63000.0,74.0,3.0,2.0,4.725,-74.038,3,2019,Colombia,Localidad Usaquén,Calle 145,Not found,Not found,110121.0
22863,132750.0,107.0,2.0,3.0,4.695,-74.03699999999999,3,2019,Colombia,Localidad Usaquén,Avenida Calle 116,Not found,Not found,110111.0
22864,85050.0,86.0,2.0,2.0,4.696000000000001,-74.03699999999999,3,2019,Colombia,Localidad Usaquén,Calle 117,Not found,Not found,110111.0
22865,207000.0,219.0,3.0,3.0,4.72,-74.029,3,2019,Colombia,Localidad Usaquén,Calle 144,Not found,Not found,110121.0
22866,156825.0,190.0,3.0,4.0,4.724,-74.03,3,2019,Colombia,Localidad Usaquén,Carrera 7F,Not found,Not found,110121.0
22867,76275.0,57.0,2.0,1.0,4.726,-74.033,3,2019,Colombia,Localidad Usaquén,Calle 147,Not found,Not found,110131.0
22868,80775.0,59.0,1.0,1.0,4.705,-74.032,3,2019,Colombia,Localidad Usaquén,Carrera 8,Not found,Not found,110121.0
22869,52875.0,52.0,2.0,2.0,4.631,-74.071,3,2019,Colombia,Localidad Teusaquillo,Carrera 17,Not found,Not found,111311.0
22870,72000.0,48.0,2.0,1.0,4.6080000000000005,-74.069,3,2019,Colombia,Localidad Santa Fé,Calle 23,Not found,Not found,110311.0
22871,129375.0,141.0,3.0,3.0,3.431,-76.55199999999999,3,2019,Colombia,Comuna 19,Carrera 37,Not found,Valle del Cauca,760042.0
22872,195750.0,88.0,3.0,2.0,4.677,-74.043,3,2019,Colombia,Localidad Chapinero,Carrera 9,Not found,Not found,110221.0
22873,110250.0,69.0,2.0,2.0,4.672,-74.059,3,2019,Colombia,Localidad Chapinero,Carrera 19C,Not found,Not found,110221.0
22874,303750.0,193.0,3.0,3.0,4.662,-74.05199999999999,3,2019,Colombia,Localidad Chapinero,Calle 79A,Not found,Not found,110221.0
22875,108000.0,52.0,2.0,2.0,4.648,-74.058,3,2019,Colombia,Localidad Chapinero,Calle 64,Not found,Not found,110231.0
22876,123750.0,118.0,3.0,3.0,4.68,-74.04,3,2019,Colombia,Localidad Chapinero,Calle 99,Not found,Not found,110221.0
22877,103500.0,82.0,2.0,2.0,4.683,-74.054,3,2019,Colombia,Localidad Chapinero,Calle 95,Not found,Not found,110221.0
22878,101250.0,106.0,2.0,3.0,4.64,-74.064,3,2019,Colombia,Localidad Chapinero,Avenida Calle 53,Not found,Not found,110231.0
22879,213750.0,105.0,2.0,2.0,4.677,-74.042,3,2019,Colombia,Localidad Chapinero,Calle 95,Not found,Not found,110221.0
22880,281250.0,130.0,2.0,2.0,4.677,-74.041,3,2019,Colombia,Localidad Chapinero,Calle 96,Not found,Not found,110221.0
22881,96750.0,83.0,2.0,3.0,4.695,-74.065,3,2019,Colombia,Not found,Transversal 56,Not found,Not found,111111.0
22882,65362.5,72.0,2.0,2.0,4.746,-74.05,3,2019,Colombia,Not found,Calle 163B,Not found,Not found,111156.0
22883,61875.0,62.0,2.0,2.0,4.729,-74.058,3,2019,Colombia,Not found,Carrera 54C,Not found,Not found,111156.0
22884,243000.0,203.0,4.0,4.0,4.732,-74.07300000000001,3,2019,Colombia,Not found,Calle 138,Not found,Not found,111156.0
22885,51750.0,74.0,2.0,3.0,4.751,-74.09100000000001,3,2019,Colombia,Not found,Calle 152,Not found,Not found,111161.0
22886,144000.0,134.0,3.0,3.0,4.744,-74.066,3,2019,Colombia,Not found,Avenida Calle 153,Not found,Not found,111156.0
22887,92250.0,134.0,3.0,3.0,4.704,-74.071,3,2019,Colombia,Not found,Transversal 60,Not found,Not found,111121.0
22888,117000.0,125.0,3.0,3.0,4.699,-74.069,3,2019,Colombia,Not found,Calle 115 Bis,Not found,Not found,111111.0
22889,99000.0,55.0,2.0,1.0,4.695,-74.059,3,2019,Colombia,Not found,Calle 106A,Not found,Not found,111111.0
22890,112500.0,77.0,2.0,2.0,4.694,-74.059,3,2019,Colombia,Not found,Calle 105,Not found,Not found,111111.0
22891,110250.0,96.0,2.0,3.0,4.739,-74.06,3,2019,Colombia,Not found,Carrera 56,Not found,Not found,111156.0
22892,81000.0,93.0,2.0,3.0,4.734,-74.051,3,2019,Colombia,Not found,Carrera 48,Not found,Not found,111156.0
22893,35512.137675,41.0,1.0,1.0,4.579,-74.127,5,2019,Colombia,Localidad Rafael Uribe Uribe,Avenida Carrera 24,Not found,Not found,111811.0
22894,36862.137675,41.0,1.0,1.0,4.579,-74.127,5,2019,Colombia,Localidad Rafael Uribe Uribe,Avenida Carrera 24,Not found,Not found,111811.0
22897,26550.0,60.0,1.0,2.0,3.4160000000000004,-76.535,5,2019,Colombia,Comuna 10,Calle 11A,Not found,Valle del Cauca,760041.0
22898,27225.0,53.0,1.0,2.0,3.4560000000000004,-76.555,5,2019,Colombia,Comuna 1,Calle 13 Oeste,Not found,Valle del Cauca,760101.0
22899,72000.0,50.0,1.0,2.0,4.649,-74.056,5,2019,Colombia,Localidad Chapinero,Calle 66 Bis,Not found,Not found,110231.0
