Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,Country,Province
174363.0,135.0,3.0,4.0,-12.3849381,-76.7704642,03,2020,Perú,Lima
183540.0,123.0,3.0,4.0,-12.3849381,-76.7704642,03,2020,Perú,Lima
183540.0,132.0,3.0,4.0,-12.3849381,-76.7704642,03,2020,Perú,Lima
113620.0,70.0,3.0,5.0,-12.2023595669,-77.0219355846,03,2020,Perú,Lima
244720.0,158.0,4.0,3.0,-12.0937847,-77.0013231,03,2020,Perú,Lima
144210.0,89.0,4.0,3.0,-12.0998867,-76.9954714,03,2020,Perú,Lima
201020.0,204.0,4.0,3.0,-12.116197349,-76.9939573683,03,2020,Perú,Lima
437000.0,694.0,4.0,4.0,-12.0881399,-76.8968822,03,2020,Perú,Lima
174800.0,160.0,4.0,4.0,-12.0209222594,-77.0060750902,03,2020,Perú,Lima
319010.0,210.0,4.0,4.0,-12.1306257,-77.0017258,03,2020,Perú,Lima
655412.6,249.0,4.0,4.0,-12.1106408,-77.0366821,03,2020,Perú,Lima
646585.2,243.0,4.0,4.0,-12.1106408,-77.0366821,03,2020,Perú,Lima
480700.0,440.0,4.0,4.0,-12.0897056445,-76.9634258228,03,2020,Perú,Lima
91770.0,105.0,4.0,4.0,-12.0620871,-77.0749765,03,2020,Perú,Lima
218500.0,177.0,4.0,7.0,-11.9722172739,-76.7996420516,03,2020,Perú,Lima
111872.0,71.0,5.0,0.0,-12.0679761,-77.0476698,03,2020,Perú,Lima
611800.0,300.0,5.0,3.0,-12.0954443,-76.9947088,03,2020,Perú,Lima
131012.6,240.0,5.0,6.0,-12.9469097,-76.5054606,03,2020,Perú,Lima
1748000.0,11520.0,5.0,13.0,-14.9789567,-74.9884488,03,2020,Perú,Ica
270940.0,160.0,6.0,6.0,-12.051187429,-76.9785340056,03,2020,Perú,Lima
227240.0,1024.0,7.0,8.0,-12.1492693,-76.8129878,03,2020,Perú,Lima
