Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,Country,Province,City,Rooms,TotalArea,PropertyType,OperationType
113620.0,180.0,2.0,3.0,-11.8944309,-77.0437372,1,2020,Perú,Lima,Lima,0.0,180.0,Casa,Venta
69920.0,95.0,2.0,3.0,-11.9845932673,-77.0745500847,1,2020,Perú,Lima,Lima,0.0,95.0,Departamento,Venta
214130.0,120.0,3.0,3.0,-12.1304407,-77.0221307,1,2020,Perú,Lima,Lima,0.0,120.0,Departamento,Venta
187910.0,104.0,2.0,3.0,-12.1206856,-77.0192435,1,2020,Perú,Lima,Lima,0.0,104.0,Departamento,Venta
305900.0,160.0,3.0,3.0,-12.0949492,-77.0513436,1,2020,Perú,Lima,Lima,0.0,160.0,Departamento,Venta
297160.0,165.0,3.0,3.0,-12.0740663,-77.0835928,1,2020,Perú,Lima,Lima,0.0,165.0,Casa,Venta
131100.0,125.0,2.0,3.0,-12.0841083914,-77.0226101239,1,2020,Perú,Lima,Lima,0.0,125.0,Departamento,Venta
122272.6,94.0,2.0,3.0,-12.0759303,-77.0696531,1,2020,Perú,Lima,Lima,0.0,94.0,Departamento,Venta
83030.0,74.0,2.0,3.0,-12.089251,-77.0699433,1,2020,Perú,Lima,Lima,0.0,74.0,Departamento,Venta
318136.0,219.0,3.0,3.0,-12.1216934,-76.9758072,1,2020,Perú,Lima,Lima,0.0,219.0,Departamento,Venta
157320.0,101.0,2.0,3.0,-12.1280036,-76.97756,1,2020,Perú,Lima,Lima,0.0,101.0,Departamento,Venta
74290.0,172.0,2.0,3.0,-12.031555181,-77.0771572619,1,2020,Perú,Lima,Lima,0.0,172.0,Departamento,Venta
83904.0,149.0,2.0,3.0,-12.1571937306,-76.9765570815,1,2020,Perú,Lima,Lima,0.0,149.0,Departamento,Venta
147706.0,114.0,2.0,4.0,-12.0755813,-76.9506077,1,2020,Perú,Lima,Lima,0.0,114.0,Departamento,Venta
144210.0,107.0,2.0,4.0,-12.0755813,-76.9506077,1,2020,Perú,Lima,Lima,0.0,107.0,Departamento,Venta
218500.0,186.0,3.0,4.0,-12.1218593,-77.0205453,1,2020,Perú,Lima,Lima,0.0,186.0,Departamento,Venta
568100.0,430.0,5.0,4.0,-12.0932378131,-77.0383380929,1,2020,Perú,Lima,Lima,0.0,430.0,Departamento,Venta
520030.0,380.0,5.0,4.0,-12.3292909,-76.8342285,1,2020,Perú,Lima,Lima,0.0,380.0,Casa,Venta
126730.0,120.0,4.0,5.0,-11.9297447,-77.0775223,1,2020,Perú,Lima,Lima,0.0,174.0,Casa,Venta
87400.0,200.0,3.0,5.0,-5.1897886109,-80.6466207799,1,2020,Perú,Piura,Piura,0.0,224.0,Casa,Venta
87400.0,272.0,6.0,6.0,-5.1876111505,-80.6204967616,1,2020,Perú,Piura,Piura,0.0,272.0,Departamento,Venta
183540.0,187.0,4.0,3.0,-16.3725959,-71.5445,1,2020,Perú,Arequipa,Arequipa,0.0,187.0,Departamento,Venta
288420.0,240.0,2.0,0.0,-6.7640362,-79.8381454,1,2020,Perú,Lambayeque,Chiclayo,0.0,240.0,Local-comercial,Venta
126730.0,106.0,3.0,0.0,-8.1001531,-79.0352163,1,2020,Perú,La-Libertad,Trujillo,0.0,106.0,Departamento,Venta
76038.0,97.0,2.0,3.0,-8.102267,-79.0488875,1,2020,Perú,La-Libertad,Trujillo,0.0,97.0,Departamento,Venta
72542.0,93.0,2.0,3.0,-8.102267,-79.0488875,1,2020,Perú,La-Libertad,Trujillo,0.0,93.0,Departamento,Venta
70794.0,93.0,2.0,3.0,-8.102267,-79.0488875,1,2020,Perú,La-Libertad,Trujillo,0.0,93.0,Departamento,Venta
74290.0,93.0,2.0,3.0,-8.102267,-79.0488875,1,2020,Perú,La-Libertad,Trujillo,0.0,93.0,Departamento,Venta
70794.0,97.0,2.0,3.0,-8.102267,-79.0488875,1,2020,Perú,La-Libertad,Trujillo,0.0,97.0,Departamento,Venta
76038.0,93.0,2.0,3.0,-8.102267,-79.0488875,1,2020,Perú,La-Libertad,Trujillo,0.0,93.0,Departamento,Venta
74290.0,97.0,2.0,3.0,-8.102267,-79.0488875,1,2020,Perú,La-Libertad,Trujillo,0.0,97.0,Departamento,Venta
75164.0,87.0,2.0,3.0,-8.0973446,-79.0323059,1,2020,Perú,La-Libertad,Trujillo,0.0,87.0,Departamento,Venta
104880.0,113.0,2.0,3.0,-8.1151606,-79.0333603,1,2020,Perú,La-Libertad,Trujillo,0.0,113.0,Departamento,Venta
349600.0,234.0,7.0,6.0,-8.0755165,-79.1189215,1,2020,Perú,La-Libertad,Trujillo,0.0,234.0,Local-comercial,Venta
454480.0,199.0,6.0,6.0,-8.099464,-79.0255594,1,2020,Perú,La-Libertad,Trujillo,0.0,288.0,Local-comercial,Venta
65550.0,160.0,2.0,3.0,-7.2452522,-79.4760133,1,2020,Perú,La-Libertad,Pacasmayo,0.0,160.0,Departamento,Venta
78660.0,210.0,5.0,6.0,-7.2452522,-79.4760133,1,2020,Perú,La-Libertad,Pacasmayo,0.0,210.0,Local-comercial,Venta
742900.0,101.0,1.0,0.0,-12.1278329,-77.0002899,1,2020,Perú,Lima,Lima,0.0,101.0,Local-comercial,Venta
78660.0,49.0,1.0,1.0,-12.0886591,-77.0251319,1,2020,Perú,Lima,Lima,0.0,49.0,Departamento,Venta
43700.0,143.0,1.0,2.0,-11.8590472807,-77.0869528903,1,2020,Perú,Lima,Lima,0.0,143.0,Casa,Venta
83030.0,65.0,1.0,2.0,-12.0669,-77.0451178,1,2020,Perú,Lima,Lima,0.0,65.0,Departamento,Venta
48070.0,63.0,1.0,2.0,-12.0099784,-76.9779644,1,2020,Perú,Lima,Lima,0.0,63.0,Departamento,Venta
39330.0,51.0,1.0,2.0,-11.8950143952,-77.0309364109,1,2020,Perú,Lima,Lima,0.0,51.0,Departamento,Venta
104880.0,87.0,1.0,3.0,-12.0452321,-77.0364463,1,2020,Perú,Lima,Lima,0.0,87.0,Oficina,Venta
100510.0,100.0,1.0,3.0,-12.108924,-77.0237166,1,2020,Perú,Lima,Lima,0.0,100.0,Departamento,Venta
148580.0,157.0,1.0,3.0,-12.0763416115,-77.0368947995,1,2020,Perú,Lima,Lima,0.0,157.0,Local-comercial,Venta
349600.0,165.0,1.0,3.0,-12.0763416115,-77.0367231381,1,2020,Perú,Lima,Lima,0.0,165.0,Local-comercial,Venta
